ltmc,ltm_detail,hit_num,url,referrer,cid_v0,native_v10,user_agent_v96,clean_url_v33,mc_inst,visits,cid_v0_inst,native_v10_inst,clean_url_v33_inst
Paid Search,Electricity & Gas,19,"",https://www.google.com/,ps:re:NATBAU:gl,no,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0",https://www.originenergy.com.au/my/,0,1,0,1,1
Internal,originenergy:my-account-setup,13,"","","",no,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",https://www.originenergy.com.au/my/make-payment/A-C2696C63/confirm,0,1,0,1,1
Origin App,None,12,https://www.originenergy.com.au/my/assistance/debt-and-ongoing/first-payment-date,"","",yes,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 odin-mobile-app",https://www.originenergy.com.au/my/assistance/debt-and-ongoing/first-payment-date,0,1,0,1,1
Origin App,www.originenergy.com.au/help-support/financial-assistance-and-concessions/concessions-and-grants,35,"","","",yes,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",https://www.originenergy.com.au/internet/plans/,0,1,0,1,1
Internal,None,10,https://www.originenergy.com.au/my/make-payment/A-871AB92E/select-payment-method,"","",no,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",https://www.originenergy.com.au/my/make-payment/A-871AB92E/select-payment-method,0,1,0,1,1
Origin App,None,23,"","","",yes,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 odin-mobile-app",https://www.originenergy.com.au/my/make-payment/A-9E3B1A39/select-payment-method,0,1,0,1,1
Origin App,None,6,"","","",yes,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 odin-mobile-app",https://www.originenergy.com.au/my/make-payment/A-03EA42C0/select-payment-method,0,1,0,1,1
Paid Search,Electricity & Gas,9,"","",ps:re:NATBAU:gl,no,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",https://www.originenergy.com.au/my/usage/monthly,0,1,0,1,1
Origin App,None,29,"","","",yes,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 odin-mobile-app",https://www.originenergy.com.au/my/move-home/thank-you,0,1,0,1,1
Internal,originenergy:my-account-setup,10,"","","",no,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/382.0.794785026 Mobile/15E148 Safari/604.1",https://www.originenergy.com.au/my/reward/movies,0,1,0,1,1
